A 2 moth course, 2 session every week		
Session	SN	Topic
History:
1	1	Author
1	2	Python 2
1	3	Python 3
		
Interpretor:	
1	4	Python in chrome
1	5	Online python interpretor
1	6	Installing python in computer
1	7	Different python distributions
1	8	Python editors
		
Elementary:	Dilshad Ahmad
1	9	print
2	10	data types
2	11	data structure
2	12	list
2	13	tuple
2	14	dicionary
2	15	set
2	16	if condition
2	17	if else
2	18	for loop
2	19	while loop
		
Intermediate:	Dilshad Ahmad	
2	20	functions
3	21	python module
3	22	Built in functions
3	23	Built in modules
4	24	Oops in python
4	25	decorators
4	26	lambda functions
5	27	map
5	28	filter
5	29	functools
6	30	itertools
		
Advance:	
6	31	Documentation
7	32	Error handeling
7	33	Testing
8	34	Python module
		
Expert	
9	35	Famous modules
10	36	Web/API: flask, django
11	37	Plotting: Matplotlib/plotly/dash
12	38	Data anlysis: pandas, StatsModel, Seaborn
13	39	Machine learning: sklearn, tensorflow, keras
15	40	Projects: Web, API
16	41	Projects: Data Analytics, ML
